"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Strix occidentalis","Spotted Owl","Chouette tachetée","No Suitable Data","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",7580,NA
"Strix nebulosa","Great Gray Owl","Chouette lapone","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7610,"CAN"
"Asio otus","Long-eared Owl","Hibou moyen-duc","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7620,"USACAN"
"Asio flammeus","Short-eared Owl","Hibou des marais","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",7640,"USACAN"
"Aegolius funereus","Boreal Owl","Nyctale de Tengmalm","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7670,"CAN"
"Aegolius acadicus","Northern Saw-whet Owl","Petite Nyctale","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7680,"USACAN"
"Chordeiles minor","Common Nighthawk","Engoulevent d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",7720,"Canada"
"Phalaenoptilus nuttallii","Common Poorwill","Engoulevent de Nuttall","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N",7750,NA
"Antrostomus carolinensis","Chuck-will's-widow","Engoulevent de Caroline","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",7810,NA
"Antrostomus vociferus","Eastern Whip-poor-will","Engoulevent bois-pourri","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N",7871,"Canada"
"Cypseloides niger","Black Swift","Martinet sombre","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",7970,"Canada"
"Chaetura pelagica","Chimney Swift","Martinet ramoneur","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",8040,"Canada"
"Aeronautes saxatalis","White-throated Swift","Martinet à gorge blanche","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N",8180,"Canada"
"Archilochus colubris","Ruby-throated Hummingbird","Colibri à gorge rubis","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",9270,"Canada"
"Archilochus alexandri","Black-chinned Hummingbird","Colibri à gorge noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",9280,"Canada"
"Calypte anna","Anna's Hummingbird","Colibri d'Anna","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",9310,"CAN"
"Selasphorus calliope","Calliope Hummingbird","Colibri calliope","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",9330,"Canada"
"Selasphorus rufus","Rufous Hummingbird","Colibri roux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",9370,"Canada"
"Megaceryle alcyon","Belted Kingfisher","Martin-pêcheur d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",9750,"Canada"
"Melanerpes lewis","Lewis's Woodpecker","Pic de Lewis","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",10030,"Canada"
"Melanerpes erythrocephalus","Red-headed Woodpecker","Pic à tête rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",10060,"Canada"
"Melanerpes carolinus","Red-bellied Woodpecker","Pic à ventre roux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",10190,"Canada"
"Sphyrapicus thyroideus","Williamson's Sapsucker","Pic de Williamson","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",10210,NA
"Sphyrapicus varius","Yellow-bellied Sapsucker","Pic maculé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",10220,"Canada"
"Sphyrapicus nuchalis","Red-naped Sapsucker","Pic à nuque rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",10230,"Canada"
"Sphyrapicus ruber","Red-breasted Sapsucker","Pic à poitrine rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",10240,"Canada"
"Dryobates pubescens","Downy Woodpecker","Pic mineur","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10290,"Canada"
"Dryobates villosus","Hairy Woodpecker","Pic chevelu","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10300,"Canada"
"Dryobates albolarvatus","White-headed Woodpecker","Pic à tête blanche","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10340,NA
"Picoides dorsalis","American Three-toed Woodpecker","Pic à dos rayé","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10360,"CAN"
"Picoides arcticus","Black-backed Woodpecker","Pic à dos noir","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10370,"USACAN"
"Colaptes auratus","Northern Flicker","Pic flamboyant","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",10460,"Canada"
"Dryocopus pileatus","Pileated Woodpecker","Grand Pic","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",10540,"Canada"
"Contopus cooperi","Olive-sided Flycatcher","Moucherolle à côtés olive","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12020,"Canada"
"Contopus sordidulus","Western Wood-Pewee","Pioui de l'Ouest","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12060,"Canada"
"Contopus virens","Eastern Wood-Pewee","Pioui de l'Est","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12070,"Canada"
"Empidonax flaviventris","Yellow-bellied Flycatcher","Moucherolle à ventre jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12130,"Canada"
"Empidonax virescens","Acadian Flycatcher","Moucherolle vert","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12140,NA
"Empidonax alnorum","Alder Flycatcher","Moucherolle des aulnes","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12160,"Canada"
"Empidonax traillii","Willow Flycatcher","Moucherolle des saules","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12170,"Canada"
"Empidonax minimus","Least Flycatcher","Moucherolle tchébec","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12190,"Canada"
"Empidonax hammondii","Hammond's Flycatcher","Moucherolle de Hammond","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N",12200,"Canada"
"Empidonax wrightii","Gray Flycatcher","Moucherolle gris","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",12210,"Canada"
"Empidonax oberholseri","Dusky Flycatcher","Moucherolle sombre","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N",12220,"Canada"
"Empidonax difficilis occidentalis/hellmayri","Western Flycatcher (Cordilleran)","Moucherolle obscur (occidentalis/hellmayri)","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N",12231,"Canada"
"Sayornis phoebe","Eastern Phoebe","Moucherolle phébi","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N",12300,"Canada"
"Sayornis saya","Say's Phoebe","Moucherolle à ventre roux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N",12310,"Canada"
"Myiarchus crinitus","Great Crested Flycatcher","Tyran huppé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12450,"Canada"
"Tyrannus verticalis","Western Kingbird","Tyran de l'Ouest","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","Y","N","Y",12710,"Canada"
"Tyrannus tyrannus","Eastern Kingbird","Tyran tritri","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N",12720,"Canada"
"Lanius ludovicianus","Loggerhead Shrike","Pie-grièche migratrice","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",13210,"Canada"
"Vireo griseus","White-eyed Vireo","Viréo aux yeux blancs","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",13240,NA
"Vireo flavifrons","Yellow-throated Vireo","Viréo à gorge jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",13380,"Canada"
"Vireo cassinii","Cassin's Vireo","Viréo de Cassin","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",13410,"Canada"
"Vireo solitarius","Blue-headed Vireo","Viréo à tête bleue","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",13420,"Canada"
"Vireo huttoni","Hutton's Vireo","Viréo de Hutton","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13440,"Canada"
"Vireo gilvus","Warbling Vireo","Viréo mélodieux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",13460,"Canada"
"Vireo philadelphicus","Philadelphia Vireo","Viréo de Philadelphie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",13480,"Canada"
"Perisoreus canadensis","Canada Jay","Mésangeai du Canada","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13620,"Canada"
"Cyanocitta stelleri","Steller's Jay","Geai de Steller","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13630,"Canada"
"Cyanocitta cristata","Blue Jay","Geai bleu","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",13640,"Canada"
"Nucifraga columbiana","Clark's Nutcracker","Cassenoix d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13860,"Canada"
"Pica hudsonia","Black-billed Magpie","Pie d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13870,"Canada"
"Corvus brachyrhynchos","American Crow","Corneille d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",13900,"Canada"
"Corvus ossifragus","Fish Crow","Corneille de rivage","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",13980,"BCR13"
"Corvus corax","Common Raven","Grand Corbeau","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14010,"Canada"
"Alauda arvensis","Eurasian Skylark","Alouette des champs","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",14030,NA
"Eremophila alpestris","Horned Lark","Alouette hausse-col","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",14040,"Canada"
"Progne subis","Purple Martin","Hirondelle noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",14050,"Canada"
"Tachycineta bicolor","Tree Swallow","Hirondelle bicolore","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N",14120,"Canada"
"Tachycineta thalassina","Violet-green Swallow","Hirondelle à face blanche","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",14150,"Canada"
"Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirondelle à ailes hérissées","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N",14200,"Canada"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirondelle à front blanc","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",14230,"Canada"
"Hirundo rustica","Barn Swallow","Hirondelle rustique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",14250,"Canada"
"Poecile atricapillus","Black-capped Chickadee","Mésange à tête noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14280,"Canada"
"Poecile gambeli","Mountain Chickadee","Mésange de Gambel","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14290,"Canada"
"Poecile rufescens","Chestnut-backed Chickadee","Mésange à dos marron","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14310,"Canada"
"Poecile hudsonicus","Boreal Chickadee","Mésange à tête brune","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14320,"CAN"
"Poecile cinctus","Gray-headed Chickadee","Mésange lapone","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N",14330,NA
"Baeolophus bicolor","Tufted Titmouse","Mésange bicolore","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",14370,"Canada"
"Psaltriparus minimus","Bushtit","Orite buissonnière","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14400,"CAN"
"Sitta canadensis","Red-breasted Nuthatch","Sittelle à poitrine rousse","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",14410,"Canada"
"Sitta carolinensis","White-breasted Nuthatch","Sittelle à poitrine blanche","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14420,"Canada"
"Sitta pygmaea","Pygmy Nuthatch","Sittelle pygmée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14430,"Canada"
"Certhia americana","Brown Creeper","Grimpereau brun","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",14450,"Canada"
"Salpinctes obsoletus","Rock Wren","Troglodyte des rochers","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",14560,"Canada"
"Catherpes mexicanus","Canyon Wren","Troglodyte des canyons","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14570,"CAN"
"Thryothorus ludovicianus","Carolina Wren","Troglodyte de Caroline","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",14720,"Canada"
"Thryomanes bewickii","Bewick's Wren","Troglodyte de Bewick","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14760,"Canada"
"Troglodytes aedon","House Wren","Troglodyte familier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",14780,"Canada"
"Cistothorus palustris","Marsh Wren","Troglodyte des marais","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",14850,"Canada"
"Cinclus mexicanus","American Dipper","Cincle d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",14930,"Canada"
"Regulus satrapa","Golden-crowned Kinglet","Roitelet à couronne dorée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",14960,"Canada"
"Corthylio calendula","Ruby-crowned Kinglet","Roitelet à couronne rubis","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",14970,"USACAN"
"Polioptila caerulea","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15100,"Canada"
"Luscinia svecica","Bluethroat","Gorgebleue à miroir","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",15270,NA
"Oenanthe oenanthe","Northern Wheatear","Traquet motteux","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",15310,NA
"Sialia sialis","Eastern Bluebird","Merlebleu de l'Est","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15330,"Canada"
"Sialia mexicana","Western Bluebird","Merlebleu de l'Ouest","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15340,"Canada"
"Sialia currucoides","Mountain Bluebird","Merlebleu azuré","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",15350,"Canada"
"Myadestes townsendi","Townsend's Solitaire","Solitaire de Townsend","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15360,"Canada"
"Catharus fuscescens","Veery","Grive fauve","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",15550,"Canada"
"Catharus minimus","Gray-cheeked Thrush","Grive à joues grises","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",15560,"Canada"
"Catharus bicknelli","Bicknell's Thrush","Grive de Bicknell","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",15570,"Canada"
"Catharus ustulatus","Swainson's Thrush","Grive à dos olive","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",15580,"Canada"
"Catharus guttatus","Hermit Thrush","Grive solitaire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",15590,"Canada"
"Hylocichla mustelina","Wood Thrush","Grive des bois","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",15600,"Canada"
"Turdus migratorius","American Robin","Merle d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15770,"Canada"
"Ixoreus naevius","Varied Thrush","Grive à collier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",15830,"Canada"
"Dumetella carolinensis","Gray Catbird","Moqueur chat","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",15900,"Canada"
"Mimus polyglottos","Northern Mockingbird","Moqueur polyglotte","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",15920,"CAN"
"Oreoscoptes montanus","Sage Thrasher","Moqueur des armoises","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",15960,NA
"Toxostoma rufum","Brown Thrasher","Moqueur roux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",15970,"Canada"
"Sturnus vulgaris","European Starling","Étourneau sansonnet","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16140,"Canada"
"Motacilla tschutschensis","Eastern Yellow Wagtail","Bergeronnette de Béringie","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",16200,NA
"Anthus rubescens","American Pipit","Pipit d'Amérique","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16290,"USACAN"
"Anthus spragueii","Sprague's Pipit","Pipit de Sprague","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",16300,"Canada"
