"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Pterodroma cahow","Bermuda Petrel","Pétrel des Bermudes","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1820,NA
"Calonectris diomedea","Cory's Shearwater","Puffin cendré","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1960,NA
"Ardenna creatopus","Pink-footed Shearwater","Puffin à pieds roses","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1980,NA
"Ardenna carneipes","Flesh-footed Shearwater","Puffin à pieds pâles","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1990,NA
"Ardenna gravis","Great Shearwater","Puffin majeur","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2000,NA
"Ardenna bulleri","Buller's Shearwater","Puffin de Buller","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2020,NA
"Ardenna grisea","Sooty Shearwater","Puffin fuligineux","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2030,NA
"Ardenna tenuirostris","Short-tailed Shearwater","Puffin à bec grêle","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2040,NA
"Puffinus puffinus","Manx Shearwater","Puffin des Anglais","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2060,NA
"Oceanites oceanicus","Wilson's Storm-Petrel","Océanite de Wilson","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2110,NA
"Hydrobates furcatus","Fork-tailed Storm-Petrel","Océanite à queue fourchue","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2150,NA
"Morus bassanus","Northern Gannet","Fou de Bassan","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2340,"Atlantic"
"Pelecanus erythrorhynchos","American White Pelican","Pélican d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2350,"Canada"
"Pelecanus occidentalis","Brown Pelican","Pélican brun","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2360,NA
"Urile penicillatus","Brandt's Cormorant","Cormoran de Brandt","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2370,"CAN"
"Nannopterum auritum","Double-crested Cormorant","Cormoran à aigrettes","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2390,"Canada"
"Phalacrocorax carbo","Great Cormorant","Grand Cormoran","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2400,"Atlantic"
"Urile pelagicus","Pelagic Cormorant","Cormoran pélagique","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2420,"CAN"
"Botaurus lentiginosus","American Bittern","Butor d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",2490,"Canada"
"Ixobrychus exilis","Least Bittern","Petit Blongios","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2510,"Canada"
"Ardea herodias","Great Blue Heron","Grand Héron","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2550,"Canada"
"Ardea alba","Great Egret","Grande Aigrette","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2580,"Canada"
"Egretta thula","Snowy Egret","Aigrette neigeuse","No Suitable Data","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2620,NA
"Egretta caerulea","Little Blue Heron","Aigrette bleue","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2630,NA
"Butorides virescens","Green Heron","Héron vert","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2680,"Canada"
"Nycticorax nycticorax","Black-crowned Night Heron","Bihoreau gris","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2720,"Canada"
"Plegadis chihi","White-faced Ibis","Ibis à face blanche","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2780,"Canada"
